knob,min,max,vartype,safe,note,
ALLOW_GLOBAL_DBLINKS,,,Bool,yes,,
ALLOW_GROUP_ACCESS_TO_SGA,,,Bool,yes,,
ARCHIVE_LAG_TARGET,60,7200,,mostly,,
ASM_IO_PROCESSES,1,32,,maybe,,
BACKUP_TAPE_IO_SLAVES,,,Bool,mostly,,
BITMAP_MERGE_AREA_SIZE,1048576,10485760,,mostly,need PGA_AGGREGATE_TARGET=0,
BLANK_TRIMMING,,,Bool,maybe,,
COMMIT_LOGGING,,,Enum,yes,"IMMEDIATE,BATCH",
COMMIT_WAIT,,,Enum,yes,"NOWAIT,WAIT,FORCE_WAIT",
CONTAINERS_PARALLEL_DEGREE,2,65535,,maybe,,
CONTROL_FILE_RECORD_KEEP_TIME,0,365,,mostly,,
CURSOR_BIND_CAPTURE_DESTINATION,,,Enum,yes,"off,memory,memory+disk",
CURSOR_INVALIDATION,,,Enum,yes,"DEFERRED,IMMEDIATE",
CURSOR_SHARING,,,Enum,yes,"EXACT,FORCE",
CURSOR_SPACE_FOR_TIME,,,Bool,deprecated,,
DB_BLOCK_CHECKING,,,Enum,mostly,"FALSE,OFF,LOW,MEDIUM,TRUE,FULL",
DB_BLOCK_CHECKSUM,,,Enum,mostly,"OFF,FALSE,TYPICAL,TRUE,FULL",
DB_CACHE_ADVICE,,,Enum,mostly,"ON,READY,OFF",
DB_INDEX_COMPRESSION_INHERITANCE,,,Enum,mostly,"TABLESPACE,TABLE,ALL,NONE",
DB_LOST_WRITE_PROTECT,,,Enum,mostly,"NONE,TYPICAL,FULL",
DB_ULTRA_SAFE,,,Enum,mostly,"OFF,DATA_ONLY,DATA_AND_INDEX",
DB_UNRECOVERABLE_SCN_TRACKING,,,Bool,mostly,,
DB_WRITER_PROCESSES,1,100,,mostly,,
DBFIPS_140,,,Bool,mostly,,
DDL_LOCK_TIMEOUT,0,1000000,,mostly,,
DEFAULT_SHARING,,,Enum,mostly,"NONE,METADATA,DATA,EXTENDED DATA",
DEFERRED_SEGMENT_CREATION,,,Bool,mostly,,
DG_BROKER_START,,,Bool,mostly,,
DISK_ASYNCH_IO,,,Bool,mostly,,
DISTRIBUTED_LOCK_TIMEOUT,1,1000000,,mostly,,
DNFS_BATCH_SIZE,0,4096,,maybe,,
DST_UPGRADE_INSERT_CONV,,,Bool,mostly,,
ENABLE_AUTOMATIC_MAINTENANCE_PDB,,,Bool,maybe,enable or disable the running of automated maintenance tasks,
ENABLE_DDL_LOGGING,,,Bool,mostly,,
ENABLE_DNFS_DISPATCHER,,,Bool,mostly,,
ENABLE_GOLDENGATE_REPLICATION,,,Bool,maybe,,
FAST_START_MTTR_TARGET,0,3600,,no effect,,
FAST_START_PARALLEL_ROLLBACK,,,Enum,no effect,"HIGH,LOW,FALSE",
FILE_MAPPING,,,Bool,deprecated,,
FILESYSTEMIO_OPTIONS,,,Enum,mostly,"none,setall,directIO,asynch",
